Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Atakarejo Caminho De Areia;Atakarejo;BA;Ricardo;213;3;AV TIRADENTES 88;CAMINHO DE AREIA;SALVADOR;40440-360
Atakarejo Castelo Branco;Atakarejo;BA;Ricardo;213;10;R GENARO DE CARVALHO,150;CASTELO BRANCO;SALVADOR;41320-100
Atakarejo Catu;Atakarejo;BA;Ricardo;213;41;AVENIDA PADRE CUPERTINO 00;CENTRO;CATU;48110-000
Atakarejo Cd Simoes Filho;Atakarejo;BA;Ricardo;213;12;V DE PENETRACAO I 690;CIA SUL;SIMOES FILHO;43700-000
Atakarejo Cd Vitoria Da Conquista;Atakarejo;BA;Ricardo;213;18;ROD BR 116 830;AYRTON SENNA;VITORIA DA CONQUISTA;45058-000
Atakarejo Dias Davila;Atakarejo;BA;Ricardo;213;38;RUA SEM DENOMINACAO 251;CENTRO;DIAS D'AVILA;42850-000
Atakarejo Engenho Velho De Brotas;Atakarejo;BA;Ricardo;213;15;AV VASCO DA GAMA 437;ENGENHO VELHO DE BROTAS;SALVADOR;40240-090
Atakarejo F. De S. Barauna;Atakarejo;BA;Ricardo;213;19;AVENIDA JOSE FALCAO DA SILVA 150;BARAUNA;FEIRA DE SANTANA;44020-122
Atakarejo F. De S. Eunapolis;Atakarejo;BA;Ricardo;213;39;RUA EUNAPOLIS S/N;MANGABEIRA;FEIRA DE SANTANA;44056-684
Atakarejo Fazenda Grande;Atakarejo;BA;Ricardo;213;35;RUA VEREADOR ZEZEU RIBEIRO 000111;FAZENDA GRANDE II;SALVADOR;41342-153
Atakarejo Feira Sim;Atakarejo;BA;Ricardo;213;40;AVENIDA FERNANDO PINTO DE QUEIROZ S/N;SIM;FEIRA DE SANTANA;44085-620
Atakarejo Iguatemi;Atakarejo;BA;Ricardo;213;1;AV SANTIAGO DE COMPOSTELA 425;PARQUE BELA VISTA;SALVADOR;40279-150
Atakarejo Ilha;Atakarejo;BA;Ricardo;213;17;RODOVIA BA 001 8765;COROA;VERA CRUZ;44470-000
Atakarejo Ilheus;Atakarejo;BA;Ricardo;213;20;AVENIDA TANCREDO NEVES SN;OLIVENCA;ILHEUS;45660-500
Atakarejo Itabuna;Atakarejo;BA;Ricardo;213;34;RUA B SN;NOVA CALIFORNIA;ITABUNA;45604-400
Atakarejo Itacimirim;Atakarejo;BA;Ricardo;213;16;ROD RODOVIA BA 099 DO COCO SN;ITACIMIRIM (MONTE GORDO);CAMACARI;42840-660
Atakarejo Jequie;Atakarejo;BA;Ricardo;213;26;AVENIDA PRESIDENTE JOAO GOULART 171;CENTRO;JEQUIE;45200-070
Atakarejo Lauro;Atakarejo;BA;Ricardo;213;2;AV SANTOS DUMONT 5772;ESTRADA DO COCO;LAURO DE FREITAS;42700-000
Atakarejo Lobato;Atakarejo;BA;Ricardo;213;37;AVENIDA AFRANIO PEIXOTO 003913;LOBATO;SALVADOR;40470-630
Atakarejo Patamares;Atakarejo;BA;Ricardo;213;14;AV LUIS VIANA FILHO 6282;PATAMARES;SALVADOR;41680-400
Atakarejo Periperi;Atakarejo;BA;Ricardo;213;36;RUA FREDERICO COSTA 000146;PERIPERI;SALVADOR;40725-620
Atakarejo Pernambues;Atakarejo;BA;Ricardo;213;11;AV TRANQUEDO NEVES, 3290;PERNAMBUES;SALVADOR;41100-800
Atakarejo Piata;Atakarejo;BA;Ricardo;213;5;AV OCTAVIO MANGABEIRA;PIATA;SALVADOR;41650-000
Atakarejo Pinto De Aguiar;Atakarejo;BA;Ricardo;213;31;RUA CARIMBAMBA 0000SN;PITUACU;SALVADOR;41740-010
Atakarejo Pojuca;Atakarejo;BA;Ricardo;213;33;VIA BA 533 SN;STAR;POJUCA;48120-000
Atakarejo Porto Seguro;Atakarejo;BA;Ricardo;213;22;AVENIDA IVAN COSTA RODRIGUES SN;CIDADE ALTA - SEDE;PORTO SEGURO;45810-000
Atakarejo Quintas Do Morumbi;Atakarejo;BA;Ricardo;213;24;AVENIDA DAS PALMEIRAS S/N;QUINTAS DO MORUMBI;ITAPETINGA;45700-000
Atakarejo Sao Caetano;Atakarejo;BA;Ricardo;213;27;AVENIDA PRINCESA ISABEL SN;SAO CAETANO;ITABUNA;45607-003
Atakarejo Sao Cristovao;Atakarejo;BA;Ricardo;213;9;AV SAO CRISTOVAO, 301;SALVADOR;SALVADOR;41510-333
Atakarejo Sao Goncalo Dos Campos;Atakarejo;BA;Ricardo;213;25;AVENIDA JOSE CARLOS DE LACERDA S/N;LUIZ EDUARDO MAGALHAES;SAO GONCALO DOS CAMPOS;44330-000
Atakarejo Sete De Abril;Atakarejo;BA;Ricardo;213;32;AVENIDA MARIA LUCIA 001015;SETE DE ABRIL;SALVADOR;41385-445
Atakarejo Simoes Filho Loja;Atakarejo;BA;Ricardo;213;30;AVENIDA ENG ELMO SEREJO DE FARIAS 2073;CIA I;SIMOES FILHO;43700-000
Atakarejo Vitoria Da Conquista;Atakarejo;BA;Ricardo;213;23;AVENIDA OLIVIA FLORES SN;CANDEIAS;VITORIA DA CONQUISTA;45028-100
Bontempo Petrolina;Outros;PE;Antonio;4290;1;R DOM TOMAS 80;COHAB SAO FRANCISCO;PETROLINA;56309-020
Caravelas Comercial De Alimentos;Outros;BA;Ricardo;6007;1;RUA MARECHAL DEODORO 240;CENTRO;FEIRA DE SANTANA;44002-064
Carballo Faro - Cd;Outros;BA;Ricardo;1872;2;CD;PORTO SECO PIRAJA;SALVADOR;41233-010
Carballo Faro - Cd;Outros;BA;Ricardo;2648;1;ROD BA-526 SN;JARDIM DAS MARGARIDAS;SALVADOR;41502-400
Carballo Faro - Horto;Outros;BA;Ricardo;1872;3;AV SANTA LUZIA, 985;FORTO FLORESTAL;SALVADOR;40295-050
Carballo Faro - Pituba;Outros;BA;Ricardo;1872;1;AV. PAULO VI   N1498;PITUBA;SALVADOR;41810-001
Carballo Faro Alphaville;Outros;BA;Ricardo;1872;4;AV ALPHAVILLE, 199;ALPHAVILLE I;SALVADOR;41701-015
Carrefour Atras Da Banca;Outros;PE;Antonio;4;42;R SAO VICENTE DE PAULA 219;ATRAS DA BANCA;PETROLINA;56308-050
Carrefour Petrolina Centro;Outros;PE;Antonio;7;25;AVENIDA MONSENHOR ANGELO SAMPAIO 100;CENTRO;PETROLINA;56302-290
Carrefour River Shopping;Outros;PE;Antonio;4;38;AV MONSENHOR ANGELO SAMPAIO 100;CENTRO;PETROLINA;56302-290
Cdp 7 Portas Nova;Cesta do Povo;BA;Nixon;4245;19;R CONEGO PEREIRA SN;MACAUBAS;SALVADOR;40301-155
Cdp Alagoinhas Av 24 Maio;Cesta do Povo;BA;Nixon;4245;4;AVENIDA 24 DE MAIO 17;CENTRO;ALAGOINHAS;48000-127
Cdp Alagoinhas R 24 de Maio;Cesta do Povo;BA;Ricardo;4383;1;R VINTE E QUATRO DE MAIO 17;CENTRO;ALAGOINHAS;48010-000
Cdp Armacao Stiep Armacao;Cesta do Povo;BA;Nixon;4245;1;AV PROFESSOR MANOEL RIBEIRO;ARMACAO;SALVADOR;41750-160
Cdp Boca Do Rio Pinto Aguiar I;Cesta do Povo;BA;Nixon;2647;1;R PROFESSOR PINTO DE AGUIAR SN;BOCA DO RIO;SALVADOR;41710-000
Cdp Boca Do Rio Pinto Aguiar II;Cesta do Povo;BA;Nixon;4245;17;RUA PROFESSOR PINTO DE AGUIAR 00592A;BOCA DO RIO;SALVADOR;41710-000
Cdp Castelo Branco;Cesta do Povo;BA;Ricardo;4245;7;RUA VITORINO ALVES MOITINHO S/N;CASTELO BRANCO;SALVADOR;41320-600
Cdp Catu R Desembargador I;Cesta do Povo;BA;Nixon;4382;1;R DESEMBARGADOR PEDRO RIBEIRO 62;CENTRO;CATU;48110-000
Cdp Catu R Desembargador II;Cesta do Povo;BA;Nixon;4245;18;RUA DESEMBARGADOR PEDRO RIBEIRO 62;CENTRO;CATU;48110-000
Cdp Cd Monte Libano Mata;Cesta do Povo;BA;Ricardo;5085;1;RODOVIA BA 093, DISTRITO INDUSTRIAL SN;MONTE LIBANO;MATA DE SAO JOAO;48280-000
Cdp Dias Davila Av Brasil;Cesta do Povo;BA;Nixon;4245;15;AVENIDA BRASIL- 164, CENTRO;DIAS DAVILA;DIAS D'AVILA;42850-000
Cdp Entre Rios Centro;Cesta do Povo;BA;Ricardo;4245;13;PRACA BARAO DO RIO BRANCO;CENTRO;ENTRE RIOS;48180-000
Cdp Esplanada;Cesta do Povo;BA;Ricardo;4245;12;AVENIDA MARIO ANDREAZZA - 60 CENTRO, ESP;ESPALANADA;DIAS D'AVILA;48370-000
Cdp Genaro Dias Davila;Cesta do Povo;BA;Ricardo;4245;14;AVENIDA GARCIA D AVILA - S/N, GENARO;GENARO;DIAS D'AVILA;42850-000
Cdp Manoel Dias Davila;Cesta do Povo;BA;Ricardo;4245;6;AVENIDA BRASIL 09;CENTRO;DIAS D'AVILA;42850-000
Cdp Marechal Rondon;Cesta do Povo;BA;Ricardo;4245;9;RUA VICENTE CELESTINO 000009;MARECHAL RONDON;SALVADOR;41280-000
Cdp Mata Barao Acu;Cesta do Povo;BA;Nixon;4245;2;PC BARAO ACU DA TORRE 41;CENTRO - SEDE;MATA DE SAO JOAO;48280-000
Cdp Mata Centro - Sede;Cesta do Povo;BA;Nixon;4245;16;RUA SANTOS DUMONT S/N;CENTRO - SEDE;MATA DE SAO JOAO;48280-000
Cdp Mata Escura;Cesta do Povo;BA;Ricardo;4491;1;RUA PROFESSOR ITAZIL BENICIO 290;MATA ESCURA;SALVADOR;41225-700
Cdp Mata Premium R Luiz Antonio;Cesta do Povo;BA;Nixon;4245;3;RUA LUIZ ANTONIO GARCEZ S/N;CENTRO - SEDE;MATA DE SAO JOAO;48280-000
Cdp Mata R Artur Torres;Cesta do Povo;BA;Nixon;4245;11;RUA ARTUR TORRES 17;CENTRO - SEDE;MATA DE SAO JOAO;48280-000
Cdp Mussurunga;Cesta do Povo;BA;Ricardo;2646;1;R DOUTOR ARTHUR COUTO 3;MUSSURUNGA I;SALVADOR;41490-350
Cdp Ogunja Brotas;Cesta do Povo;BA;Ricardo;2644;1;AV GENERAL GRACA LESSA  888;ACUPE DE BROTAS;SALVADOR;40290-110
Cdp Ogunja Brotas;Cesta do Povo;BA;Nixon;4245;8;AVENIDA GENERAL GRACA LESSA 000888;ACUPE DE BROTAS;SALVADOR;40290-110
Cdp Rodoviaria Pernambues;Cesta do Povo;BA;Nixon;4245;5;AVENIDA ANTONIO CARLOS MAGALHAES 4362;PERNAMBUES;SALVADOR;41110-700
Cdp Sao Caetano;Cesta do Povo;BA;Ricardo;4245;10;ESTRADA DE CAMPINAS 0;SAO CAETANO;SALVADOR;40391-160
Cdp Sete Portas Barbalho;Cesta do Povo;BA;Nixon;2797;1;R CONEGO PEREIRA SN;BARBALHO;SALVADOR;40300-756
Centro De Distribuicao Brasil;Outros;BA;Antonio;4585;1;FAZENDA NOVILHAS SN;ZONA RURAL;CAPIM GROSSO;44695-000
Citrus E Cia;Outros;SE;Vinicius;313;1;AV PREFEITO HERACLITO ROLLEMBERG , 1570;FAROLANDIA;ARACAJU;49030-640
Coageli Lauro;Redemix;BA;Vinicius;208;2;PC MARTINIANO MAIA. 93;CENTRO;LAURO DE FREITAS;42702-720
Cogeali Paripe;Redemix;BA;Vinicius;208;1;RUA DR EDUARDO DOTTO 81;PARIPE;SALVADOR;40800-010
Compre Bem Alagoinhas;Outros;BA;Ricardo;2819;1;AV AYRTON SENNA DA SILVA  SN;ALAGOINHAS VELHA;ALAGOINHAS;48030-640
Deli E Cia Graca;Outros;BA;Ricardo;218;1;AV EUCLIDES DA CUNHA 79;GRACA;SALVADOR;40150-120
Destak Embalagens Nutri Prime.;Outros;BA;Antonio;4614;1;RODOVIA BR 407 SN;DISTRITO INDUSTRIAL;JUAZEIRO;48909-725
Disgal;Outros;BA;Ricardo;6010;1;RUA CICERO DANTAS 9;PONTO CENTRAL;FEIRA DE SANTANA;44075-105
Dist Sao Roque  Mangabeira;Outros;BA;Vinicius;1600;3;AV FRANCISCO FRAGA MAIA SN;MANGABEIRA;FEIRA DE SANTANA;44056-232
Dist Sao Roque Calumbi;Outros;BA;Vinicius;1600;4;R TOME DE SOUZA 259;CALUMBI;FEIRA DE SANTANA;44008-405
Dist Sao Roque Centro;Outros;BA;Vinicius;1600;2;R CASTRO ALVES 1473;CENTRO;FEIRA DE SANTANA;44001-184
Dist Sao Roque Conceicao;Outros;BA;Vinicius;1600;7;RUA CALAMAR 267;CONCEICAO;FEIRA DE SANTANA;44065-104
Dist Sao Roque Sim;Outros;BA;Vinicius;1600;5;AV ARTEMIA PIRES FREITAS CN;SIM;FEIRA DE SANTANA;44085-370
Dist Sao Roque Sta Monica;Outros;BA;Vinicius;1600;1;AV EDUARDO FROES DA MOTA;SANTA MONICA;FEIRA DE SANTANA;44078-015
Dist Sao Roque Sto Estevao;Outros;BA;Vinicius;1600;6;AVENIDA GETULIO VARGAS 197;CENTRO;SANTO ESTEVAO;44190-000
Distribuidora E Sacolao Sabor Da Fruta;Outros;PE;Antonio;3009;1;AV FERNANDO FARIAS 460;ANTONIO CASSIMIRO;PETROLINA;56321-630
Economart Barreiras;Economart;BA;Nixon;6049;5;AVENIDA AHYLON MACEDO 745;MORADA NOBRE;BARREIRAS;47810-035
Economart Feira De Santana;Economart;BA;Nixon;6049;1;RUA PASSO ALEGRE S/N;LAGOA SALGADA;FEIRA DE SANTANA;44082-150
Economart Jequie;Economart;BA;Nixon;6049;3;AVENIDA GOVERNADOR LOMANTO JUNIOR 1981;JOAQUIM ROMAO;JEQUIE;45200-565
Economart Luis Eduardo;Economart;BA;Nixon;6049;4;AVENIDA ARNALDO HORACIO FERREIRA 228;BOA VISTA;LUIS EDUARDO MAGALHAES;47853-054
Economart Santo Antonio;Economart;BA;Nixon;6049;6;AVENIDA COSME E DAMIAO 555;ANDAIA;SANTO ANTONIO DE JESUS;44434-040
Economart Vitoria Da Conquista;Economart;BA;Nixon;6049;2;AVENIDA BRUMADO 2295;BATEIAS;VITORIA DA CONQUISTA;45052-000
Economia Da Praca;Outros;BA;Nixon;3003;1;R CONSELHEIRO JUNQUEIRA  912;CATU;ALAGOINHAS;48090-021
Eko Express Aracaju;Outros;SE;Vinicius;4640;1;AVENIDA PRES TANCREDO NEVES 670;JARDINS;ARACAJU;49025-620
Exito Supermercado Lagarto;Outros;SE;Vinicius;6123;1;RUA DR  LAUDELINO FREIRE 390;CENTRO;LAGARTO;49400-000
Feirao Das Frutas Atras Da Banca;Outros;PE;Antonio;1926;1;RUA SAO FRANCISCO N 559;ATRAS DA BANCA;PETROLINA;56308-060
Feirao Das Frutas Maria Auxiliadora I;Outros;PE;Antonio;1926;2;AV MONSENHOR ANGELO SAMPAIO 487;MARIA AUXILIADORA;PETROLINA;56330-300
Feirao Das Frutas Maria Auxiliadora II;Outros;PE;Antonio;2764;1;AV MONSENHOR ANGELO SAMPAIO 487;MARIA AUXILIADORA;PETROLINA;56330-300
Fort Fruit Petrolina;Outros;PE;Antonio;1503;1;RODOVIA BR-122;LOTEAMENTO RECIFE;PETROLINA;56320-700
Friozem Armazens;Outros;BA;Vinicius;5099;1;RODOVIA BA 093 04120;PALMARES;SIMOES FILHO;43700-000
Frutart Com;Outros;BA;Antonio;320;1;ROD LOMANTO JUNIOR KM 05 , 15/16;TANCREDO NEVES;JUAZEIRO;48900-420
Frutos Da Terra;Outros;PE;Antonio;259;1;R DR JULIO DE MELO , 538;CENTRO;PETROLINA;56302-150
GBarbosa  - Rio Mar;Cencosud;SE;Vinicius;82;53;AV LUIZ LUA GONZAGA 400;COROA DO MEIO;ARACAJU;49035-500
GBarbosa  Cj. Augusto Franco;Cencosud;SE;Vinicius;82;58;AV HERACLITO ROLLEMBERG 2676;CJ. AUGUSTO FRANCO;ARACAJU;49030-640
Gbarbosa  Sao Cristovao;Cencosud;SE;Vinicius;82;74;AVENIDA AYRTON SENNA S/N;CONJ. ROSA MARIA;SAO CRISTOVAO;49100-000
Gbarbosa 015 Feira Vasco Filho;Cencosud;BA;Vinicius;82;15;RUA VASCO FILHO S/N;CENTRO;FEIRA DE SANTANA;44025-290
Gbarbosa 016 Feira Barao;Cencosud;BA;Vinicius;82;16;RUA BARAO DE COTEGIPE, 1106;CENTRO;FEIRA DE SANTANA;44025-030
Gbarbosa 017 Feira Marechal;Cencosud;BA;Vinicius;82;17;RUA MARECHAL DEODORO,245;CENTRO;FEIRA DE SANTANA;44010-250
Gbarbosa 018 Esplanada;Cencosud;BA;Vinicius;82;18;PRACA.LADISLAU CAVALCANTE,18;CENTRO;ESPLANADA;48370-000
Gbarbosa 029 Feira Cidade Nova;Cencosud;BA;Vinicius;82;19;AV.EDUARDO FROES DA MOTA,6281;CIDADE NOVA;FEIRA DE SANTANA;44030-730
Gbarbosa 029 Iguatemi;Cencosud;BA;Vinicius;82;8;AV ANTONIO CARLOS MAGALHAES, 4479;BROTAS;SALVADOR;40280-000
Gbarbosa 032 Ribeira Do Pombal;Cencosud;BA;Vinicius;82;20;AV.EVENCIA BRITO S/N;CENTRO;RIBEIRA DO POMBAL;48400-000
Gbarbosa 035 Costa Azul;Cencosud;BA;Vinicius;82;9;RUA ARTHUR AZEVEDO MACHADO 3443;COSTA AZUL;SALVADOR;41760-000
Gbarbosa 036 Paulo Afonso;Cencosud;BA;Vinicius;82;21;AV.APOLONIO SALE;CENTRO;PAULO AFONSO;48608-100
Gbarbosa 037 Alagoinhas Dr Dantas;Cencosud;BA;Vinicius;82;22;RUA DR.DANTAS BIAO S/N;CENTRO;ALAGOINHAS;48000-000
Gbarbosa 038 Alagoinhas Praça Bandeira;Cencosud;BA;Vinicius;82;23;PRACA DA BANDEIRA 01;CENTRO;ALAGOINHAS;48005-170
Gbarbosa 039 Alagoinhas Padre Alfredo;Cencosud;BA;Vinicius;82;24;PRACA PADRE ALFREDO,86;CENTRO;ALAGOINHAS;48050-010
Gbarbosa 074 Feira Sobradinho;Cencosud;BA;Vinicius;82;25;R.DR ARIOVALDO DE CARVALHO 780;SOBRADINHO;FEIRA DE SANTANA;44020-010
Gbarbosa 076 Feira Tomba;Cencosud;BA;Vinicius;82;26;RUA COMENDADOR GOMES S/N;TOMBA;FEIRA DE SANTANA;44064-000
Gbarbosa 088 Av San Martin;Cencosud;BA;Vinicius;82;10;AV SAO MARTINS SN;SAN MARTIN;SALVADOR;40355-015
Gbarbosa 102 Fazenda Grande;Cencosud;BA;Vinicius;82;27;RUA MELLO MORAES 475;F. GRANDE;SALVADOR;40352-000
Gbarbosa 104 Valenca;Cencosud;BA;Vinicius;82;28;AV.INDL MARITA ALMEIDA S/N;CENTRO;VALENCA;45400-000
Gbarbosa 106 Brotas;Cencosud;BA;Vinicius;82;29;FREDERICA COSTA 534;BROTAS;SALVADOR;40243-045
Gbarbosa 108 Lauro De Freitas;Cencosud;BA;Vinicius;82;11;AV LUIS TARQUINIO 1686;CENTRO;LAURO DE FREITAS;42700-000
Gbarbosa 112 Vitoria Da Conquista;Cencosud;BA;Vinicius;82;30;AV.OLIVIA FLORES S/N;CANDEIAS;VITORIA DA CONQUISTA;45028-100
Gbarbosa 121 Piraja;Cencosud;BA;Vinicius;82;31;RUA OITO DE NOVEMBRO 06;PIRAJA;SALVADOR;41290-200
Gbarbosa 123 Brotas Ogunja;Cencosud;BA;Vinicius;82;32;VALE DO OGUNJA 304;BROTAS;SALVADOR;40290-500
Gbarbosa 139 Vitoria Da Conquista;Cencosud;BA;Vinicius;82;39;AV.JURACI MAGALHAES 3340;centro;VITORIA DA CONQUISTA;45023-490
Gbarbosa 143 Feira Brasilia;Cencosud;BA;Vinicius;82;40;AV GOV JOAO DE CARNEIRO 970;n.brasilia;FEIRA DE SANTANA;44088-031
Gbarbosa 144 Feira Centro;Cencosud;BA;Vinicius;82;41;AV GETULIO VARGAS 523;CENTRO;FEIRA DE SANTANA;44001-525
Gbarbosa 145 Feira Queimadinha;Cencosud;BA;Vinicius;82;42;AV JOSE FALCAO DA SILVA 150;QUEIMADINHA;FEIRA DE SANTANA;44050-512
Gbarbosa 151 Ilheus;Cencosud;BA;Vinicius;82;43;AV LOMANTO JUNIOR 786;CENTRO;ILHEUS;45654-000
Gbarbosa 154 Jequiezinha;Cencosud;BA;Vinicius;82;44;AV CESAR BORGES 212 ANEXO 01;JEQUIEZINHA;JEQUIE;45200-970
Gbarbosa 156 Jequie Praca Bandeira;Cencosud;BA;Vinicius;82;45;PRACA DA BANDEIRA S/N;CENTRO;JEQUIE;45200-310
Gbarbosa 158 Jequie R Francisco;Cencosud;BA;Vinicius;82;46;RUA FRANCISCO AMEIRA;CENTRO;JEQUIE;45200-090
Gbarbosa 272 Cabula;Cencosud;BA;Vinicius;82;47;RUA ESTRADA DAS BARREIRAS N°992;CABULA;SALVADOR;41185-500
Gbarbosa 274 Guarajuba;Cencosud;BA;Vinicius;82;48;RODOVIA BA 099,KM 42 S/N;GUARAJUBA;CAMACARI;42827-000
Gbarbosa 302 Horto Bela Vista;Cencosud;BA;Vinicius;82;49;ALAMEDA EUVALDO LUZ N92;HORTO BELA VISTA;SALVADOR;41098-020
Gbarbosa 306 Paulo Afonso;Cencosud;BA;Vinicius;82;50;AV JOSE HEMETERIO DE CARVALHO;PAULO AFONSO;PAULO AFONSO;48601-320
Gbarbosa 315 Serrinha Ginasio;Cencosud;BA;Vinicius;82;51;RUA LAURO MOTA, SN;GINASIO;SERRINHA;48700-000
Gbarbosa Atalaia Velha;Cencosud;SE;Vinicius;82;65;R LUIZ CHAGAS 55;ATALAIA VELHA;ARACAJU;49037-430
GBarbosa Augusto Aracaju;Cencosud;SE;Vinicius;82;57;AV AUGUSTO FRANCO 3280;PONTO NOVO;ARACAJU;49047-040
Gbarbosa Barra Dos Coqueiros;Cencosud;SE;Vinicius;82;72;AV OCEANICA 1025;CENTRO;BARRA DOS COQUEIROS;49140-970
Gbarbosa Camacari;Cencosud;BA;Vinicius;82;86;VIA DE LIGACAO CAMACARI S/N;POLO PETROQUIMICO;CAMACARI;42810-260
Gbarbosa Cd Bahia;Cencosud;BA;Vinicius;82;85;RODOVIA BA 093 4120;PALMARES;SIMOES FILHO;43700-000
Gbarbosa Cd Sergipe;Cencosud;SE;Vinicius;82;84;RODOVIA BR 235 S/N;SOBRADO;NOSSA SENHORA DO SOCORRO;49158-622
Gbarbosa CD Socorro SE;G Barbosa;SE;Vinicius;82;87;RODOVIA BR 235 S/N, SN;SOBRADO;NOSSA SENHORA DO SOCORRO;49158-622
GBarbosa Centro Aracaju;Cencosud;SE;Vinicius;82;62;AV COELHO E CAMPOS 215;CENTRO;ARACAJU;49010-720
GBarbosa Cj Orlando Dantas;Cencosud;SE;Vinicius;82;56;AV FRANCISCO JOSE FONSECA 1337;CJ. ORLANDO DANTAS;ARACAJU;49042-000
Gbarbosa Conj Bugio Aracaju;Cencosud;SE;Vinicius;82;71;AV POCO DO MERO 285;CONJUNTO BUGIO;ARACAJU;49090-000
GBarbosa Farolandia;Cencosud;SE;Vinicius;82;64;AV JOSE THOMAZ D AVILA NABUCO 945;FAROLANDIA;ARACAJU;49030-270
GBarbosa Francisco Porto;Cencosud;SE;Vinicius;82;61;AV FRANCISCO PORTO 250;SALGADO FILHO;ARACAJU;49020-120
Gbarbosa Hiper Sul;Cencosud;SE;Vinicius;82;70;AV MELICIO MACHADO 1060;ATALAIA;ARACAJU;49037-445
GBarbosa J. C. De Araujo;Cencosud;SE;Vinicius;82;63;AV OSVALDO ARANHA 1240;J. C. DE ARAUJO;ARACAJU;49085-410
Gbarbosa Jardins;Cencosud;SE;Vinicius;82;68;AV DEP SILVIO TEIXEIRA 831;JARDINS;ARACAJU;49025-100
Gbarbosa Jose Prado Aracaju;Cencosud;SE;Vinicius;82;67;R JOSE DO PRADO FRANCO 148;CENTRO;ARACAJU;49010-110
Gbarbosa Lj N. Srª Do Socorro;Cencosud;SE;Vinicius;82;82;AVENIDA COLETORA A S/N;CONJ. MARCOS FREIRE I;NOSSA SENHORA DO SOCORRO;49160-000
Gbarbosa Luzia;Cencosud;SE;Vinicius;82;73;R MINISTRO NELSON HUNGRIA 155;LUZIA;ARACAJU;49045-510
Gbarbosa Pau Da Lima;Cencosud;BA;Vinicius;82;12;RUA JAYME VIEIRA LIMA, S/N;PAU LIMA;SALVADOR;41235-000
GBarbosa Santa Maria Aracaju;Cencosud;SE;Vinicius;82;54;AV ALEXANDRO ALCINO 2155;SANTA MARIA;ARACAJU;49044-090
GBarbosa Santo Antonio Aracaju;Cencosud;SE;Vinicius;82;60;R MURIBECA 310;SANTO ANTONIO;ARACAJU;49060-470
GBarbosa Santos Dumont;Cencosud;SE;Vinicius;82;59;R MAJOR AURELIANO 305;SANTOS DUMONT;ARACAJU;49087-400
Gbarbosa Sao Jose Aracaju;Cencosud;SE;Vinicius;82;66;R GONCALO R. DO PRADO 142;SAO JOSE;ARACAJU;49010-410
Gbarbosa Siqueira Campos;Cencosud;SE;Vinicius;82;69;R CARLOS CORREIA 453;SIQUEIRA CAMPOS;ARACAJU;49075-160
Gbarbosa-125-Juazeiro Santo Antonio;Cencosud;BA;Antonio;82;33;RUA PRINCESA ISABEL;SANTO ANTONIO;JUAZEIRO;48903-130
Gbarbosa-127-Petrolina;Cencosud;PE;Antonio;82;34;AV.DOS TROPEIROS N 10;PEDRO RAIMUNDO;PETROLINA;56316-140
Gbarbosa-129-Juazeiro;Cencosud;BA;Antonio;82;35;TRAVESSA MARAVILHA 418;CENTRO;JUAZEIRO;48904-140
Gbarbosa-131-Petrolina;Cencosud;PE;Antonio;82;36;RUA DA INTEGRACAO 583;vila eduardo;PETROLINA;56328-010
Gbarbosa-133 -Juazeiro Centro;Cencosud;BA;Antonio;82;37;TRAVESSA MATATU S/N;CENTRO;JUAZEIRO;48904-570
Gbarbosa-137-Juazeiro;Cencosud;BA;Antonio;82;38;RUA PADRE ANCHIETA;centro;JUAZEIRO;45998-002
Gral Panificacao;Outros;BA;Ricardo;1824;1;ALAMEDA PADUA N 126;PITUBA;SALVADOR;41830-480
Gran Deli Delicatessen;Outros;BA;Ricardo;5090;1;R MINISTRO ANTONIO CARLOS MAGALHAES 143;BURAQUINHO;LAURO DE FREITAS;42710-400
Gran Hortifruti;Outros;BA;Ricardo;2821;1;AL DOS UMBUZEIROS 128;CAMINHO DAS ARVORES;SALVADOR;41820-680
Hieprideal Guarajuba;Hieprideal;BA;Ricardo;2613;22;ROD BA 099 ESTRADA DO COCO KM 42;GUARAJUBA (MONTE GORDO);CAMACARI;42840-310
Hiper Carne Jabotiana;Outros;SE;Vinicius;4582;1;RUA MAJ JOAO TELES 44;JABOTIANA;ARACAJU;49095-230
Hiper Carnes Barra Dos Coqueiros;Outros;SE;Vinicius;4130;1;AV OCEANICA 835;CENTRO;BARRA DOS COQUEIROS;49140-000
Hiper Ideal Cd;Hiperideal;BA;Ricardo;2613;24;R DA GRATIDAO 00;PIATA;SALVADOR;41650-195
Hiper Santos;Outros;SE;Vinicius;1372;1;R QUIRINO;DISTRITO INDUSTRIAL;ARACAJU;49065-290
Hiper Unimar Arembepe;Outros;BA;Nixon;203;2;R ALTO DA CONCEICAO SN;AREMBEPE (ABRANTES);CAMACARI;42830-570
Hiper Unimar Barra Do Pojuca;Outros;BA;Nixon;203;1;R FILOGONIO DE OLIVEIRA 141;BARRA DO POJUCA;CAMACARI;42825-000
Hiper Unimar Parque Nasc Da Capivara;Outros;BA;Nixon;203;3;R DOM PEDRO 1 SN;PARQUE NASC DA CAPIVARA;CAMACARI;42800-970
Hiperideal Alphaville;Hiperideal;BA;Ricardo;2613;32;AVENIDA ALPHAVILLE L. 03;ALPHAVILLE I;SALVADOR;41701-015
