Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Perini - Paralela;Cencosud;BA;Vinicius;69;11;AV LUIZ VIANA, 8544;PARALELA;SALVADOR;41730-101
Perini Barra;Cencosud;BA;Vinicius;69;2;RUA MIGUEL BURNIER 24;BARRA;SALVADOR;40140-190
Perini Federacao;Cencosud;BA;Nixon;69;6;AVENIDA VASCO DA GAMA 3051;FEDERACAO;SALVADOR;40230-731
Perini Graca;Cencosud;BA;Vinicius;69;4;AVENIDA PRINCESA LEOPOLDINA 398;GRACA;SALVADOR;40150-080
Perini Pituba;Cencosud;BA;Vinicius;69;5;RUA MARANHAO 64;PITUBA;SALVADOR;41830-260
Perini Vasco Da Gama;Cencosud;BA;Vinicius;69;3;AVENIDA VASCO DA GAMA 3051;FEDERACAO;SALVADOR;40230-731
Pga Juazeiro;Outros;BA;Antonio;2860;1;ROD BR 235 SN;TANCREDO NEVES;JUAZEIRO;48906-726
Pga Petrolina;Outros;PE;Antonio;2860;2;AVENIDA AVENIDA JOAO PERNAMBUCO 120;JATOBA;PETROLINA;56332-360
Premium Embalagens;Outros;PE;Antonio;4599;1;RUA RIO BEBERIBE 0;JOSE E MARIA;PETROLINA;56320-370
Pulvetec;Outros;PE;Antonio;2982;1;R 12 N 201;JARDIM BRASILIA;PETROLINA;56332-175
Rede Compre Bem Supermercados Ltda;Outros;BA;Nixon;4379;1;AV AYRTON SENNA SN;JAMBEIRO;ALAGOINHAS;48007-892
Rmix  Stella Maris;Redemix;BA;Vinicius;186;11;R RUBEM VALENTIM 459;STELLA MARIS;SALVADOR;41600-685
Rmix Alphaville;Redemix;BA;Vinicius;186;4;AV LUIZ VIANA, 7876;ALPHAVILLE 1;SALVADOR;41701-005
Rmix Amazonas;Redemix;BA;Vinicius;186;6;R AMAZONAS 883;PITUBA;SALVADOR;41830-380
Rmix Buraquinho;Redemix;BA;Vinicius;186;7;R PRISCILA B DUTRA 1278;BURAQUINHO;LAURO DE FREITAS;42709-200
Rmix Chame-Chame;Redemix;BA;Vinicius;186;12;RUA PROFESSOR SABINO SILVA 179;CHAME-CHAME;SALVADOR;40157-250
Rmix Horto;Redemix;BA;Vinicius;186;8;R WALDEMAR FALCAO 1017;HORTO FLORESTAL;SALVADOR;40285-885
Rmix Imbui;Redemix;BA;Vinicius;186;2;AV JORGE AMADO 980;IMBUI;SALVADOR;41720-040
Rmix Itapua;Redemix;BA;Vinicius;186;5;AV DORIVAL CAYMMI, 107;ITAPUA;SALVADOR;41635-152
Rmix Masani;Redemix;BA;Vinicius;209;1;AV PAULO VI 1932 PARQUE FLAMBOYANT;PITUBA;SALVADOR;41810-001
Rmix Ondina;Redemix;BA;Vinicius;186;9;AV ADHEMAR DE BARROS 392;ONDINA;SALVADOR;40170-110
Rmix Pitubinha;Redemix;BA;Vinicius;186;1;RUA ARTUR GOMES DE CARVALHO 246;PITUBA;SALVADOR;41810-640
Rmix Ponto Verde Iapi;Redemix;BA;Vinicius;1763;2;RUA CONDE DE PORTO ALEGRE, SN;IAPI;SALVADOR;40330-201
Rmix Ponto Verde Sete Portas;Redemix;BA;Vinicius;1763;1;LRG DAS SETE PORTAS, 06;SETE PORTAS;SALVADOR;40040-375
Rmix Ponto Verde Vila Laura;Redemix;BA;Vinicius;1763;3;RUA RAUL LEITE, 116;VILA LAURA;SALVADOR;40270-010
Rmix Rio Vermelho;Redemix;BA;Vinicius;186;13;RUA OSWALDO CRUZ 000564;RIO VERMELHO;SALVADOR;41940-000
Rmix Simoes Filho;Redemix;BA;Vinicius;186;3;AV WASHINGTON LUIZ;CENTRO;SIMOES FILHO;43700-000
Rmix Vitoria;Redemix;BA;Vinicius;186;10;AV SETE DE SETEMBRO 1839;VITORIA;SALVADOR;40080-002
Rocha Carnes - Aracaju;Outros;SE;Vinicius;4237;1;R MARIA VASCONCELOS DE ANDRADE 506;ARUANA;ARACAJU;49000-626
Rocha Carnes - Aracaju Santos Dumont;Outros;SE;Vinicius;4237;4;R MAJ AURELIANO 123;SANTOS DUMONT;ARACAJU;49087-400
Rocha Carnes - Barra Dos Coqueiros;Outros;SE;Vinicius;4237;2;AV GAL ANTONIO S. B. PIRRO 14;CONJUNTO PRISCO VIANA;BARRA DOS COQUEIROS;49140-000
Rocha Carnes - Nossa Senhora Do Socorro;Outros;SE;Vinicius;4237;3;AV A 58;MARCOS FREIRE;NOSSA SENHORA DO SOCORRO;49160-000
Roselly Ferreira Sales Da Silva Ltda;Outros;BA;Vinicius;6041;1;RUA JUVENCIO ERUDILHO SN;CENTRO;SALVADOR;44002-528
Rumo Agricola;Outros;PE;Antonio;2589;1;AV HONORATO VIANA 565;JARDIM MASSANGANO;PETROLINA;56308-000
Sacolao De Juazeiro;Outros;BA;Antonio;1467;1;R HENRIQUE ROCHA;CENTRO;JUAZEIRO;48905-120
Sams Aracaju;Sams;SE;Vinicius;47;7;AV DEP SILVIO TEIXEIRA, 870;JARDINS;ARACAJU;49025-100
Sams Bonoco;Sams;BA;Vinicius;47;10;AV MARIO LEAL FERREIRA 000780;COSME DE FARIAS;SALVADOR;40252-390
Sams Feira De Santana;Sams;BA;Vinicius;47;12;RUA CORONEL JOSE PINTO DOS SANTOS S/N;SAO JOAO;FEIRA DE SANTANA;44051-568
Sams Lauro De Freitas;Sams;BA;Vinicius;47;9;AV SANTOS DUMONT 7552;BURAQUINHO;LAURO DE FREITAS;42710-860
Sams Pituba;Sams;BA;Vinicius;47;5;AV ANTONIO CARLOS MAGALHAES 3410;PITUBA;SALVADOR;41810-150
Sao Roque Artemia Pires;Outros;BA;Vinicius;1600;8;AVENIDA ARTEMIA PIRES FREITAS 9000;SIM;FEIRA DE SANTANA;44085-370
Special Fruit Import;Outros;BA;Antonio;1528;1;RODOVIA JUAZEIRO CURACA KM 18 SN;CAJUEIRO;JUAZEIRO;48905-350
Sua Quitanda Hortifruti;Outros;SE;Vinicius;2780;1;AV FRANCISCO PORTO 772;SALGADO FILHO;ARACAJU;49020-570
Sul Frutos;Outros;BA;Antonio;311;1;R RODOVIA LOMANTO JUNIOR , SN;ALTO DO CRUZEIRO;JUAZEIRO;48900-420
Sup Bombom Estancia Centro;Outros;SE;Vinicius;4234;2;RUA DA LIBERDADE 162;CENTRO;ESTANCIA;49200-000
Sup Bombom Lagarto Centro;Outros;SE;Vinicius;4234;1;AV ZACARIAS JUNIOR 100;CENTRO;LAGARTO;49400-000
Super Rua Do Catu;Outros;BA;Nixon;2807;1;R CONSELHEIRO JUNQUEIRA 912;CATU;ALAGOINHAS;48090-021
Super Sacolao Planalto;Outros;BA;Antonio;2953;1;AV RAUL ALVES 580;SANTO ANTONIO;JUAZEIRO;48903-000
Supermercado Aruana;Outros;SE;Vinicius;4582;2;RUA MARIA VASCONCELOS DE ANDRADE 536;ARUANA;ARACAJU;49000-626
Supermercado Bombom Aracaju Grageru;Outros;SE;Vinicius;4234;3;AVENIDA DEP PEDRO VALADARES 780;GRAGERU;ARACAJU;49026-115
Supermercado Compre Bem;Outros;BA;Ricardo;4379;2;R DOUTOR CARLOS AZEVEDO;CENTRO;ALAGOINHAS;48000-191
Supermercado Compre Bem Conselheiro Junq;Outros;BA;Nixon;4379;3;AV CONSELHEIRO JUNQUEIRA;TEREZOPOLIS;ALAGOINHAS;48018-235
Supermercado Compre Bem Dantas Luma;Outros;BA;Nixon;4379;4;PC HUGO DANTAS LUMA;BARREIRO;ALAGOINHAS;48022-050
Supermercado Da Praca;Outros;BA;Nixon;4487;1;PRACA MACARIO BARRETO 230;TOMBA;FEIRA DE SANTANA;44090-288
Supermercado Jhones;Outros;BA;Ricardo;5095;1;AVENIDA MEDEIROS NETO 258;CENTRO;ITABERABA;46880-000
Supermercado Jl;Outros;BA;Ricardo;6020;1;RUA MANOEL FLORENCIO 434;SAO JOAO;ITABERABA;46880-000
Supermercado Nunes Peixoto Centro;Outros;SE;Vinicius;2997;1;PC JOAO PESSOA 99;CENTRO;ITABAIANA;49500-070
Supermercado Nunes Peixoto Novo Horizont;Outros;SE;Vinicius;2997;2;RUA MONTE ALEGRE  N 78;NOVO HORIZONTE;NOSSA SENHORA DA GLORIA;49680-000
Supermercado Sacola Cheia;Outros;BA;Antonio;2823;1;R XV DE NOVEMBRO 37;CAJUEIRO;JUAZEIRO;48904-023
Supermercado Toda Hora;Outros;BA;Nixon;2818;1;AV JURACY MAGALHAES 1274;JURACY MAGALHAES;ALAGOINHAS;48040-210
Supermercados Messias Peixoto;Outros;SE;Vinicius;4389;1;LRG JOSE DO PRADO FRANCO 62;CENTRO;ITABAIANA;49500-124
Supermercados Messias Peixoto;Outros;SE;Vinicius;4389;2;AV JOSE AMANCIO BISPO 5419;MIGUEL TELES DE MENDONCA;ITABAIANA;49505-330
Tanto Supermercado Ltda;Outros;SE;Vinicius;4003;1;R LOURIVAL CHAGAS  45;GRAGERU;ARACAJU;49025-390
Tcb-Alagoinha;Outros;BA;Nixon;226;2;VINTE E QUATRO DE MAIO 17;CENTRO;ALAGOINHAS;48010-000
Total Atacado Lauro;Outros;BA;Nixon;5116;1;AVENIDA LUIZ TARQUINIO PONTES 827;CENTRO;LAURO DE FREITAS;42702-420
Walmart - Barra;Outros;BA;Vinicius;1647;4;R BARAO DE ITAPOAN 108;BARRA;SALVADOR;40140-060
Walmart - Chame Chame;Outros;BA;Vinicius;1647;5;AV CENTENARIO 2786;CHAME-CHAME;SALVADOR;40157-151
Wlamart - Palmares;Outros;BA;Vinicius;1647;11;ROD BA 093 4120;PALMARES;SIMOES FILHO;43700-000
